,traj,step,speed,num_collisions,num_offroad_visits,action,intention,safety_score
204,5,4,29.99573599,0,1,0,Safe,77
205,5,5,29.99927133,0,1,0,Safe,77
206,5,6,29.99987548,0,1,0,Safe,77
207,5,7,29.99997872,0,1,0,Safe,77
208,5,8,29.99999636,0,1,0,Safe,77
209,5,9,29.99999938,0,1,0,Safe,77
210,5,10,29.99999989,0,1,0,Safe,77
211,5,11,29.99999998,0,1,0,Safe,77
212,5,12,30.0,0,1,0,Safe,77
213,5,13,30.0,0,1,0,Safe,77
214,5,14,30.0,0,1,0,Safe,77
215,5,15,30.0,0,1,0,Safe,77
216,5,16,30.0,0,1,0,Safe,77
217,5,17,30.0,0,1,0,Safe,77
218,5,18,30.0,0,1,0,Safe,77
219,5,19,30.0,0,1,0,Safe,77
220,5,20,30.0,0,1,0,Safe,77
221,5,21,30.0,0,1,0,Safe,77
222,5,22,30.0,0,1,0,Safe,77
223,5,23,30.0,0,1,0,Safe,77
224,5,24,30.0,0,1,0,Safe,77
225,5,25,30.0,0,1,0,Safe,77
226,5,26,30.0,0,1,0,Safe,77
227,5,27,30.0,0,1,0,Safe,77
228,5,28,30.0,0,1,0,Safe,77
229,5,29,30.0,0,1,0,Safe,77
230,5,30,30.0,0,1,0,Safe,77
231,5,31,30.0,0,1,0,Safe,77
232,5,32,30.0,0,1,0,Safe,77
233,5,33,30.0,0,1,0,Safe,77
234,5,34,30.0,0,1,0,Safe,77
235,5,35,30.0,0,1,0,Safe,77
236,5,36,30.0,0,1,0,Safe,77
237,5,37,30.0,0,1,0,Safe,77
238,5,38,30.0,0,1,0,Safe,77
239,5,39,30.0,0,1,0,Safe,77
240,6,0,25.0,0,0,0,Safe,78
241,6,1,29.14555883,0,0,0,Safe,78
242,6,2,29.85398606,0,0,0,Safe,78
243,6,3,29.97504793,0,0,0,Safe,78
244,6,4,29.99573599,0,0,0,Safe,78
245,6,5,29.99927133,0,0,0,Safe,78
246,6,6,29.99987548,0,0,0,Safe,78
247,6,7,29.99997872,0,0,0,Safe,78
248,6,8,29.99999636,0,0,0,Safe,78
249,6,9,29.99999938,0,0,0,Safe,78
250,6,10,29.99999989,0,0,0,Safe,78
251,6,11,29.99999998,0,0,0,Safe,78
252,6,12,30.0,0,0,0,Safe,78
253,6,13,30.0,0,0,0,Safe,78
254,6,14,30.0,0,0,0,Safe,78
255,6,15,30.0,0,0,0,Safe,78
256,6,16,30.0,0,0,0,Safe,78
257,6,17,30.0,0,0,0,Safe,78
258,6,18,30.0,0,0,0,Safe,78
259,6,19,30.0,0,0,0,Safe,78
260,6,20,30.0,0,0,0,Safe,78
261,6,21,30.0,0,0,0,Safe,78
262,6,22,30.0,0,0,0,Safe,78
263,6,23,30.0,0,0,0,Safe,78
264,6,24,30.0,0,0,0,Safe,78
265,6,25,30.0,0,0,0,Safe,78
266,6,26,30.0,0,0,0,Safe,78
267,6,27,30.0,0,0,0,Safe,78
268,6,28,30.0,0,0,0,Safe,78
269,6,29,30.0,0,0,0,Safe,78
270,6,30,30.0,0,0,0,Safe,78
271,6,31,30.0,0,0,0,Safe,78
272,6,32,30.0,0,0,0,Safe,78
273,6,33,27.77464479,0,0,0,Safe,78
274,6,34,25.47415415,0,0,0,Safe,78
275,6,35,25.08102737,0,0,0,Safe,78
276,6,36,25.01384662,0,0,0,Safe,78
277,6,37,25.00236623,0,0,0,Safe,78
278,6,38,25.55595992,1,0,0,Safe,73
279,6,39,29.24056584,1,0,0,Safe,73
280,7,0,25.0,0,0,0,Safe,78
281,7,1,29.14555883,0,0,0,Safe,78
282,7,2,29.85398606,0,0,0,Safe,78
283,7,3,29.97504793,0,0,0,Safe,78
284,7,4,29.99573599,0,0,0,Safe,78
285,7,5,29.99927133,0,0,0,Safe,78
286,7,6,29.99987548,0,0,0,Safe,78
287,7,7,29.99997872,0,0,0,Safe,78
288,7,8,29.99999636,0,0,0,Safe,78
289,7,9,29.99999938,0,0,0,Safe,78
290,7,10,29.99999989,0,0,0,Safe,78
291,7,11,29.99999998,0,0,0,Safe,78
292,7,12,30.0,0,0,0,Safe,78
293,7,13,30.0,0,0,0,Safe,78
294,7,14,30.0,0,0,0,Safe,78
295,7,15,30.0,0,0,0,Safe,78
296,7,16,23.0467531,0,0,0,Safe,78
297,7,17,20.52065426,0,0,0,Safe,78
298,7,18,20.08897369,0,0,0,Safe,78
299,7,19,20.01520456,0,0,0,Safe,78
300,7,20,23.78602091,0,0,0,Safe,78
301,7,21,24.79254526,0,0,0,Safe,78
302,7,22,24.96454843,0,0,0,Safe,78
303,7,23,20.95518806,0,0,0,Safe,78
304,7,24,20.1632304,0,0,0,Safe,78
305,7,25,23.48816342,0,0,0,Safe,78
306,7,26,24.74164492,0,0,0,Safe,78
307,7,27,24.95585016,0,0,0,Safe,78
308,7,28,24.99245531,0,0,0,Safe,78
309,7,29,24.9987107,0,0,0,Safe,78
310,7,30,24.99977967,0,0,0,Safe,78
311,7,31,24.99996235,0,0,0,Safe,78
312,7,32,24.99999357,0,0,0,Safe,78
313,7,33,24.9999989,0,0,0,Safe,78
314,7,34,24.99999981,0,0,0,Safe,78
315,7,35,26.87852458,0,0,0,Safe,78
316,7,36,29.46657658,0,0,0,Safe,78
317,7,37,29.90884421,0,0,0,Safe,78
318,7,38,29.98442255,0,0,0,Safe,78
319,7,39,29.997338,0,0,0,Safe,78
320,8,0,25.0,0,0,0,Safe,78
321,8,1,25.0,0,0,0,Safe,78
322,8,2,25.0,0,0,0,Safe,78
323,8,3,25.0,0,0,0,Safe,78
324,8,4,25.0,0,0,0,Safe,78
325,8,5,25.0,0,0,0,Safe,78
326,8,6,25.0,0,0,0,Safe,78
327,8,7,25.0,0,0,0,Safe,78
328,8,8,25.0,0,0,0,Safe,78
329,8,9,25.0,0,0,0,Safe,78
330,8,10,25.0,0,0,0,Safe,78
331,8,11,25.0,0,0,0,Safe,78
332,8,12,25.0,0,0,0,Safe,78
333,8,13,25.0,0,0,0,Safe,78
334,8,14,25.0,0,0,0,Safe,78
335,8,15,25.0,0,0,0,Safe,78
336,8,16,25.0,0,0,0,Safe,78
337,8,17,25.0,0,0,0,Safe,78
338,8,18,25.0,0,0,0,Safe,78
339,8,19,25.0,0,0,0,Safe,78
340,8,20,25.0,0,0,0,Safe,78
341,8,21,25.0,0,0,0,Safe,78
342,8,22,25.0,0,0,0,Safe,78
343,8,23,25.0,0,0,0,Safe,78
344,8,24,25.0,0,0,0,Safe,78
345,8,25,25.0,0,0,0,Safe,78
346,8,26,25.0,0,0,0,Safe,78
347,8,27,25.0,0,0,0,Safe,78
348,8,28,25.0,0,0,0,Safe,78
349,8,29,25.0,0,0,0,Safe,78
350,8,30,25.0,0,0,0,Safe,78
351,8,31,25.0,0,0,0,Safe,78
352,8,32,27.53364908,0,0,0,Safe,78
353,8,33,29.57852965,0,0,0,Safe,78
354,8,34,29.92797568,0,0,0,Safe,78
355,8,35,29.98769189,0,0,0,Safe,78
356,8,36,29.99789669,0,0,0,Safe,78
357,8,37,29.99964057,0,0,0,Safe,78
358,8,38,29.99993858,0,0,0,Safe,78
359,8,39,29.9999895,0,0,0,Safe,78
360,9,0,25.0,0,1,0,Safe,77
361,9,1,25.0,0,1,0,Safe,77
362,9,2,25.0,0,1,0,Safe,77
363,9,3,25.0,0,1,0,Safe,77
364,9,4,25.0,0,1,0,Safe,77
365,9,5,25.0,0,1,0,Safe,77
366,9,6,25.0,0,1,0,Safe,77
367,9,7,25.0,0,1,0,Safe,77
368,9,8,25.0,0,1,0,Safe,77
369,9,9,25.0,0,1,0,Safe,77
370,9,10,25.0,0,1,0,Safe,77
371,9,11,25.0,0,1,0,Safe,77
372,9,12,25.0,0,1,0,Safe,77
373,9,13,25.0,0,1,0,Safe,77
374,9,14,25.0,0,1,0,Safe,77
375,9,15,25.0,0,1,0,Safe,77
376,9,16,25.0,0,1,0,Safe,77
377,9,17,25.0,0,1,0,Safe,77
378,9,18,25.0,0,1,0,Safe,77
379,9,19,25.0,0,1,0,Safe,77
380,9,20,25.0,0,1,0,Safe,77
381,9,21,25.0,0,1,0,Safe,77
382,9,22,25.0,0,1,0,Safe,77
383,9,23,25.0,0,1,0,Safe,77
384,9,24,25.0,0,1,0,Safe,77
385,9,25,25.0,0,1,0,Safe,77
386,9,26,25.0,0,1,0,Safe,77
387,9,27,25.0,0,1,0,Safe,77
388,9,28,25.0,0,1,0,Safe,77
389,9,29,25.0,0,1,0,Safe,77
390,9,30,25.0,0,1,0,Safe,77
391,9,31,25.0,0,1,0,Safe,77
392,9,32,25.0,0,1,0,Safe,77
393,9,33,25.0,0,1,0,Safe,77
394,9,34,25.0,0,1,0,Safe,77
395,9,35,25.0,0,1,0,Safe,77
396,9,36,25.0,0,1,0,Safe,77
397,9,37,25.0,0,1,0,Safe,77
398,9,38,25.0,0,1,0,Safe,77
399,9,39,25.0,0,1,0,Safe,77
400,10,0,25.0,0,0,0,Student,78
401,10,1,25.0,0,0,0,Student,78
402,10,2,25.0,0,1,0,Student,77
403,10,3,25.0,0,1,0,Student,77
404,10,4,25.0,0,2,0,Student,76
405,10,5,25.0,0,2,0,Student,76
406,10,6,25.0,0,2,0,Student,76
407,10,7,25.0,0,2,0,Student,76
408,10,8,25.0,0,2,0,Student,76
409,10,9,25.0,0,2,0,Student,76
410,10,10,25.0,0,2,0,Student,76
411,10,11,28.05127828,0,2,0,Student,76
412,10,12,29.66698639,0,2,0,Student,76
413,10,13,29.94309189,0,2,0,Student,76
414,10,14,29.99027507,0,2,0,Student,76
415,10,15,29.99833812,0,2,0,Student,76
416,10,16,29.99971601,0,2,0,Student,76
417,10,17,29.99995147,0,2,0,Student,76
418,10,18,29.99999171,0,2,0,Student,76
419,10,19,29.99999858,0,2,0,Student,76
420,10,20,29.99999976,0,2,0,Student,76
421,10,21,29.99999996,0,2,0,Student,76
422,10,22,29.99999999,0,2,0,Student,76
423,10,23,30.0,0,2,0,Student,76
424,10,24,30.0,0,2,0,Student,76
425,10,25,30.0,0,2,0,Student,76
426,10,26,30.0,0,2,0,Student,76
427,10,27,30.0,0,2,0,Student,76
